,Treatment,Invasion,Horizon,Rep,OTU1,OTU10,OTU100,OTU101,OTU102,OTU103,OTU104,OTU105,OTU106,OTU107,OTU108,OTU109,OTU11,OTU110,OTU111,OTU112,OTU113,OTU114,OTU115,OTU116,OTU117,OTU118,OTU119,OTU12,OTU120,OTU121,OTU122,OTU123,OTU124,OTU125,OTU126,OTU127,OTU128,OTU13,OTU14,OTU15,OTU16,OTU17,OTU18,OTU19,OTU2,OTU20,OTU21,OTU22,OTU23,OTU24,OTU25,OTU26,OTU27,OTU28,OTU29,OTU3,OTU30,OTU31,OTU32,OTU33,OTU34,OTU35,OTU36,OTU37,OTU38,OTU39,OTU4,OTU40,OTU41,OTU42,OTU43,OTU44,OTU45,OTU46,OTU47,OTU48,OTU49,OTU5,OTU50,OTU51,OTU52,OTU53,OTU54,OTU55,OTU56,OTU57,OTU58,OTU59,OTU6,OTU60,OTU61,OTU62,OTU63,OTU64,OTU65,OTU66,OTU67,OTU68,OTU69,OTU7,OTU70,OTU71,OTU72,OTU73,OTU74,OTU75,OTU76,OTU77,OTU78,OTU79,OTU8,OTU80,OTU81,OTU82,OTU83,OTU84,OTU85,OTU86,OTU87,OTU88,OTU89,OTU9,OTU90,OTU91,OTU92,OTU93,OTU94,OTU95,OTU96,OTU97,OTU98,OTU99
X19gmo,Control,Invaded,Organic,1,0.234968354,0,0.001977848,0,0,0,0,0,0.024327532,0,0,0.00039557,0,0,0,0,0,0,0,0.00039557,0,0,0,0.000197785,0,0,0,0,0,0,0,0,0.00039557,0,0,0.129153481,0.003560127,0.001186709,0,0,0.40664557,0.00039557,0.001582278,0,0.011471519,0.000988924,0,0,0,0,0.001582278,0.049248418,0.001780063,0.002175633,0,0.000197785,0,0.002571203,0.029074367,0,0,0,0,0.000197785,0.005933544,0,0,0,0.012064873,0.014042722,0,0,0.029272152,0.002373418,0.000593354,0,0,0,0,0.00039557,0,0.001186709,0,0,0.011273734,0,0,0,0,0,0.000593354,0,0,0,0,0.002571203,0,0,0,0.000197785,0,0,0,0,0,0,0.013053797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000593354,0,0,0,0,0.000197785,0.001186709
X14gmo,Control,Invaded,Organic,2,0.42721519,0.029667722,0.002571203,0,0,0,0.00039557,0,0,0,0,0.000988924,0,0,0.001186709,0,0,0,0,0,0,0,0.001384494,0.000593354,0,0.001780063,0.00039557,0,0,0,0.00039557,0,0,0.003757911,0,0.077136076,0.001780063,0.001977848,0.00039557,0,0.116890823,0.000593354,0,0,0.005933544,0.002175633,0.004549051,0,0.000197785,0,0.000791139,0.061313291,0.000197785,0.000791139,0,0.00039557,0.001780063,0.000593354,0.001186709,0.025712025,0.000593354,0,0,0,0.004746835,0,0.005735759,0,0.064477848,0.004746835,0,0,0.000988924,0.008109177,0,0,0,0,0.000197785,0.000593354,0,0.000197785,0,0,0.013449367,0,0.000197785,0,0.000197785,0,0.000197785,0,0.00039557,0,0,0.012856013,0,0.000197785,0,0,0,0,0,0.001977848,0,0,0.067246835,0,0,0,0,0,0,0,0,0.002966772,0,0.034018987,0,0,0,0.000593354,0,0,0.000593354,0,0,0
X12gmo,Control,Invaded,Organic,3,0.438093354,0,0,0,0,0,0.001780063,0,0.000197785,0,0,0.000197785,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000197785,0,0,0,0,0,0,0,0.003560127,0.001384494,0.040348101,0.000593354,0.003560127,0.017009494,0.001186709,0.085640823,0.016218354,0,0.006131329,0,0.002373418,0,0,0,0,0.000988924,0.22369462,0.001186709,0.00039557,0,0,0.000197785,0.000791139,0.000791139,0,0,0,0,0,0.00039557,0,0,0,0.029074367,0.000197785,0,0,0.000197785,0.012460443,0,0,0,0,0,0.000197785,0,0.000197785,0,0,0.014042722,0,0,0,0,0,0.000197785,0,0,0,0,0.013251582,0,0,0,0,0,0,0,0.000197785,0,0,0.043710443,0.002373418,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001582278,0,0,0,0.035205696,0.000197785,0
X19gmbs,Control,Invaded,Mineral,1,0.265625,0,0.037579114,0,0.018196203,0.000197785,0,0,0.035601266,0,0,0,0,0,0,0,0,0,0,0,0.007318038,0.000197785,0,0,0,0,0,0,0,0,0,0,0.007120253,0,0,0.001384494,0.021360759,0.000791139,0.006131329,0.000988924,0.15625,0.050632911,0.00039557,0.00039557,0,0.001186709,0,0,0.025712025,0,0,0.024723101,0.000197785,0.006724684,0,0.005735759,0,0.002373418,0.025514241,0,0.072191456,0,0,0.000197785,0.00494462,0,0,0.002175633,0,0.000988924,0,0,0,0,0,0,0,0,0.000197785,0,0,0,0,0,0.022745253,0.000593354,0,0,0,0,0,0.001384494,0,0,0,0.013251582,0,0,0,0.000988924,0,0.001384494,0,0,0,0,0.173852848,0,0,0,0,0.002373418,0,0,0,0,0.000197785,0.000197785,0,0,0,0,0,0,0,0,0,0
X20gmbs,Control,Invaded,Mineral,4,0.034810127,0.190862342,0,0,0,0,0,0,0,0,0,0,0,0,0.001582278,0,0.000197785,0,0,0,0.000197785,0.023734177,0.001780063,0,0,0,0,0,0,0,0,0,0,0,0.000197785,0.070015823,0.00039557,0.001186709,0.100474684,0,0.012262658,0.037183544,0,0.000593354,0.00534019,0,0,0.001384494,0,0,0,0.031843354,0,0,0,0.00039557,0,0,0,0.05221519,0,0,0.124802215,0,0,0,0.035799051,0.000197785,0.15585443,0,0,0,0,0,0,0.004746835,0,0,0,0.000988924,0,0,0.000197785,0,0.014438291,0,0,0,0,0,0.000791139,0,0,0.004549051,0,0,0,0,0,0,0,0,0,0.010087025,0,0,0.026700949,0,0,0,0,0,0,0,0,0.00039557,0,0.053797468,0,0,0,0,0,0,0,0,0,0
X24gmo,Control,Invaded,Organic,5,0.186708861,0,0.000197785,0,0.00039557,0,0.001384494,0,0.000197785,0,0,0,0.000791139,0.00039557,0,0,0,0,0,0,0,0,0,0.00039557,0,0,0.000197785,0.000197785,0,0,0,0.001780063,0,0,0,0.021162975,0.000593354,0,0.002175633,0,0.052808544,0.001582278,0,0.001186709,0.003164557,0.005142405,0.003560127,0,0,0,0,0.113132911,0,0.000197785,0.000988924,0,0.000791139,0,0.009098101,0,0,0.000197785,0.000197785,0.00039557,0,0,0,0,0.559928797,0.002966772,0,0,0.000197785,0.00039557,0.000197785,0,0,0,0,0,0,0,0,0,0.021162975,0,0,0,0,0,0.002373418,0,0,0,0,0.001582278,0,0,0,0,0,0,0,0,0,0.000197785,0,0,0,0.000593354,0,0,0,0,0,0,0,0,0.000197785,0,0,0.00039557,0,0,0,0,0,0.000791139
X20gmo,Control,Invaded,Organic,4,0.206685127,0.011471519,0.003362342,0,0,0,0.001780063,0,0,0,0,0,0,0,0.002175633,0.000593354,0,0,0,0.010482595,0.000593354,0,0,0,0,0,0.000197785,0,0,0,0,0,0,0,0,0.101068038,0,0.002175633,0,0,0.046281646,0.003560127,0,0,0,0.000197785,0.07278481,0,0,0,0.000988924,0.29727057,0,0,0.00039557,0,0.001186709,0.000593354,0.003757911,0.002768987,0,0,0.08346519,0,0,0,0,0,0.005735759,0.00039557,0,0,0.002373418,0.016811709,0,0,0,0.003164557,0,0.000197785,0,0.004351266,0.00039557,0,0.016218354,0,0,0,0.000593354,0.00039557,0.005142405,0,0,0,0,0.012262658,0,0,0,0,0,0,0,0,0,0,0.017405063,0,0.001384494,0,0,0,0,0,0,0,0,0.050632911,0,0,0,0,0,0,0,0,0.00039557,0.008306962
X24gmbs,Control,Invaded,Mineral,5,0.09335443,0,0.000593354,0,0,0.000988924,0,0,0,0,0.00039557,0,0.000791139,0,0,0.00039557,0,0,0,0,0,0,0,0,0,0,0,0,0.000791139,0,0,0.003362342,0.000791139,0.00039557,0,0.001780063,0.004549051,0.001780063,0.01068038,0,0.002768987,0.024525316,0.033623418,0.035601266,0,0.000197785,0.009098101,0.000593354,0.003362342,0,0.00039557,0.704113924,0.004351266,0.006922468,0,0.000593354,0,0.000791139,0,0,0,0.001186709,0,0.000197785,0,0,0,0,0.002175633,0,0,0,0,0.002571203,0.000197785,0,0.003164557,0,0,0,0,0,0,0,0.029074367,0,0,0,0,0.000791139,0,0.00039557,0,0,0,0.000988924,0.000988924,0,0,0,0.001186709,0,0.000791139,0,0.000593354,0.003560127,0.003560127,0,0,0,0,0,0,0,0.000988924,0,0,0,0,0,0,0,0,0,0,0,0,0
X14ubs,Control,Uninvaded,Mineral,2,0.507120253,0,0.000791139,0,0.00039557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000593354,0,0,0,0,0,0,0,0,0,0,0,0.003164557,0.000593354,0.025118671,0.001780063,0.003955696,0.014042722,0,0.073378165,0.006526899,0,0.001977848,0,0.004153481,0,0,0.002768987,0,0,0.249802215,0.00039557,0.000197785,0,0.001780063,0,0,0,0.000791139,0,0,0,0,0.001780063,0,0,0,0.00039557,0,0,0,0,0.018196203,0,0,0,0,0,0.000197785,0,0,0,0,0.006526899,0,0,0,0,0,0,0.014833861,0,0,0,0.012856013,0,0,0,0,0,0,0,0,0,0,0.044501582,0,0,0,0,0,0,0,0,0,0.000593354,0,0,0,0,0,0.00039557,0,0,0,0.00039557,0
X14uo,Control,Uninvaded,Organic,2,0.065466772,0.019580696,0.001384494,0,0,0,0.002966772,0,0.007713608,0,0,0,0,0,0,0,0,0,0,0,0,0.000593354,0.00039557,0,0,0,0,0,0,0,0,0,0,0.003560127,0,0.126582278,0.001186709,0.000791139,0,0,0.180973101,0.00039557,0.001977848,0,0.071993671,0.001582278,0.001186709,0.002571203,0.000197785,0,0.001582278,0.335047468,0.000791139,0.000197785,0,0,0.006922468,0.009889241,0.000791139,0.001384494,0.000791139,0,0,0.000197785,0.000988924,0,0.004351266,0,0.003362342,0.008109177,0,0.000988924,0.003164557,0.022151899,0.000197785,0,0,0.002373418,0,0.00039557,0,0.001186709,0,0,0.00494462,0,0,0,0.004351266,0,0.002175633,0,0.000593354,0,0,0.009889241,0,0,0.000197785,0,0,0,0.00039557,0.000197785,0,0,0.025316456,0,0,0,0,0,0,0,0,0.000988924,0,0.039556962,0,0,0,0.008306962,0,0,0.000593354,0,0,0.006526899
