Site	Date	Day-Night	Conc	Kw.perhr	Vf.myr	Uptake.Obs	Uptake.Pred
1-Andover	7/29/08	Day	0.67290642	0.148947392	52.19116608	96.21854992	100.6913011
1-Andover	7/29/08	Day	0.566109177	0.177883994	62.33055155	96.67369103	95.5026974
1-Andover	7/29/08	Night	0.428617242	0.225165058	78.89783642	92.64924119	86.49428648
1-Andover	7/29/08	Night	0.308064198	0.273652201	95.8877313	80.93034802	75.08301182
1-Andover	7/29/08	Night	0.220913558	0.314716092	110.2765188	66.74404958	63.35857919
1-Andover	7/29/08	Night	0.199309909	0.321696925	112.7226024	61.55268952	59.78183215
1-Andover	7/29/08	Night	0.339711201	0.235544792	82.53489501	76.81651588	78.51390746
1-Andover	7/29/08	Night	0.403377181	0.213413454	74.78007444	82.6426729	84.44220703
1-Andover	7/29/08	Night	0.345021217	0.2323453	81.41379313	76.9574958	79.05510323
1-Andover	7/29/08	Night	0.227656254	0.276337739	96.82874388	60.39361401	64.41160479
1-Andover	7/29/08	Night	0.131035568	0.323261826	113.2709439	40.66444505	45.95851231
2-Pye	7/29/08	Day	0.011798305	0.022601034	25.73805803	0.831960158	7.584411222
2-Pye	7/29/08	Day	0.006639277	0.135145165	153.9033138	2.799470526	4.268609595
2-Pye	7/29/08	Day	0.007613147	0.094663463	107.8027513	2.248542853	4.89460743
2-Pye	7/29/08	Day	0.013626445	0.174904264	199.1809756	7.435968726	8.759157956
2-Pye	7/29/08	Day	0.048993673	0.215066726	244.9179871	32.87515558	31.4619408
2-Pye	7/29/08	Day	0.024062419	0.250876042	285.6976362	18.83445529	15.46289777
2-Pye	7/29/08	Night	0.012506798	0.159800675	181.9810086	6.23561573	8.039697174
3-Wildes	7/29/08	Night	2.164099166	0.094906697	182.9041856	1084.446015	1072.378425
3-Wildes	7/29/08	Night	1.886895728	0.096005171	185.0211652	956.481223	1036.031266
3-Wildes	7/29/08	Night	1.332973319	0.127670146	246.0459057	898.555144	933.3964778
3-Wildes	7/29/08	Night	1.096489234	0.149675645	288.4549025	866.5416302	870.071753
3-Wildes	7/29/08	Night	0.888284476	0.183040874	352.7563718	858.4876953	798.5002215
3-Wildes	7/29/08	Night	0.648746792	0.210349545	405.3856424	720.5277672	688.389016
3-Wildes	7/29/08	Night	0.388358855	0.259201758	499.533628	531.5022128	512.6273607
3-Wildes	7/29/08	Night	0.128849913	0.354064761	682.3536079	240.8800077	224.7195
3-Wildes	7/29/08	Night	0.081104377	0.345950844	666.7164661	148.1469144	150.3351428
3-Wildes	7/29/08	Day	2.877472613	0.106886646	205.9919439	1623.934732	1139.86313
3-Wildes	7/29/08	Day	2.918891365	0.07867397	151.6204746	1212.503272	1142.959318
3-Wildes	7/29/08	Day	3.382677416	0.067786897	130.6389088	1210.710374	1173.316476
3-Wildes	7/29/08	Day	2.733024632	0.070139429	135.1727081	1012.13792	1128.476948
3-Wildes	7/29/08	Day	2.616532958	0.072043849	138.8429053	995.3069529	1118.567352
3-Wildes	7/29/08	Day	2.559903322	0.070301978	135.4859721	950.2218906	1113.492546
3-Wildes	7/29/08	Day	2.360621348	0.072963021	140.6143334	909.4169789	1094.13053
4-Lubbers	7/31/08	Day	0.608558362	0.335482305	382.0472494	636.9809543	88.74079738
4-Lubbers	7/31/08	Day	0.534569696	0.212853587	242.3976652	355.0094417	84.94854238
4-Lubbers	7/31/08	Day	0.396846822	0.353172373	402.1926986	437.2846416	75.7129533
4-Lubbers	7/31/08	Day	0.275918068	0.431043584	490.8724338	371.070064	63.89543695
4-Lubbers	7/31/08	Day	0.127996562	0.473715526	539.4672406	189.1779516	40.13667675
4-Lubbers	7/31/08	Day	0.069937973	0.680509832	774.9645966	148.4916511	25.47099816
