Site	Date	Conc	Uptake.Obs	Uptake.Pred
1-Andover	7/29/2008	0.67290642	96.21854992	100.6913011
1-Andover	7/29/2008	0.566109177	96.67369103	95.5026974
1-Andover	7/29/2008	0.428617242	92.64924119	86.49428648
1-Andover	7/29/2008	0.308064198	80.93034802	75.08301182
1-Andover	7/29/2008	0.220913558	66.74404958	63.35857919
1-Andover	7/29/2008	0.199309909	61.55268952	59.78183215
1-Andover	7/29/2008	0.339711201	76.81651588	78.51390746
1-Andover	7/29/2008	0.403377181	82.6426729	84.44220703
1-Andover	7/29/2008	0.345021217	76.9574958	79.05510323
1-Andover	7/29/2008	0.227656254	60.39361401	64.41160479
1-Andover	7/29/2008	0.131035568	40.66444505	45.95851231
3-Wildes	7/29/2008	2.164099166	1084.446015	1072.378425
3-Wildes	7/29/2008	1.886895728	956.481223	1036.031266
3-Wildes	7/29/2008	1.332973319	898.555144	933.3964778
3-Wildes	7/29/2008	1.096489234	866.5416302	870.071753
3-Wildes	7/29/2008	0.888284476	858.4876953	798.5002215
3-Wildes	7/29/2008	0.648746792	720.5277672	688.389016
3-Wildes	7/29/2008	0.388358855	531.5022128	512.6273607
3-Wildes	7/29/2008	0.128849913	240.8800077	224.7195
3-Wildes	7/29/2008	0.081104377	148.1469144	150.3351428
3-Wildes	7/29/2008	2.877472613	1623.934732	1139.86313
3-Wildes	7/29/2008	2.918891365	1212.503272	1142.959318
3-Wildes	7/29/2008	3.382677416	1210.710374	1173.316476
3-Wildes	7/29/2008	2.733024632	1012.13792	1128.476948
3-Wildes	7/29/2008	2.616532958	995.3069529	1118.567352
3-Wildes	7/29/2008	2.559903322	950.2218906	1113.492546
3-Wildes	7/29/2008	2.360621348	909.4169789	1094.13053
5-MillCanal	8/1/2008	1.099341667	849.4790366	842.6483619
5-MillCanal	8/1/2008	0.698560277	327.7801292	697.69326
5-MillCanal	8/1/2008	0.40941446	513.0526093	523.3039032
5-MillCanal	8/1/2008	0.266119804	419.5361345	394.8990787
5-MillCanal	8/1/2008	0.407655835	388.0858806	521.9441941
5-MillCanal	8/1/2008	0.367737474	419.4787557	489.7838071
5-MillCanal	8/1/2008	0.716069438	770.3002739	705.8370568
5-MillCanal	8/1/2008	0.668592813	909.8346307	683.2429977
5-MillCanal	8/1/2008	0.595025084	680.7143616	644.7561213
5-MillCanal	8/1/2008	0.585678214	586.1449189	639.5311889
5-MillCanal	8/1/2008	0.746436776	682.1682974	719.4680066
5-MillCanal	8/1/2008	0.895951706	822.6815349	778.6386075
5-MillCanal	8/1/2008	0.801376578	760.215369	742.6529722
5-MillCanal	8/1/2008	0.661585973	750.9016989	679.7671463
5-MillCanal	8/1/2008	0.656065866	741.7468708	677.0020162
5-MillCanal	8/1/2008	0.338414243	509.2580407	464.459963
5-MillCanal	8/1/2008	0.160745233	343.0779083	270.5572125
5-MillCanal	8/1/2008	0.107944893	245.0272957	194.7909293
6-SBChest	7/31/2008	1.27598315	256.809426	260.847048
6-SBChest	7/31/2008	1.177414179	280.8104158	250.0383502
6-SBChest	7/31/2008	1.670528413	304.9809973	297.0770026
6-SBChest	7/31/2008	1.108902426	217.8365745	242.0176737
6-SBChest	7/31/2008	0.936772854	221.9448185	219.757272
6-SBChest	7/31/2008	1.254838555	237.4254796	258.5970051
6-SBChest	7/31/2008	1.652020787	292.6400437	295.5895121
6-SBChest	7/31/2008	1.30998379	248.4919716	264.390469
6-SBChest	7/31/2008	1.240186172	275.0404838	257.0163664
6-SBChest	7/31/2008	0.959990448	221.6275342	222.9523847
6-SBChest	7/31/2008	0.933300466	233.3036485	219.27386
6-SBChest	7/31/2008	0.570655991	146.4014852	159.2256669
6-SBChest	7/31/2008	0.679904552	189.0105704	179.5600496
6-SBChest	7/31/2008	0.523356666	150.4274187	149.6909826
6-SBChest	7/31/2008	0.470349232	133.9595976	138.4208137
6-SBChest	7/31/2008	0.426290042	130.3560366	128.5448019
6-SBChest	7/31/2008	0.245184991	81.93625322	82.26333424
6-SBChest	7/31/2008	0.256114974	86.23217856	85.3501892
6-SBChest	7/31/2008	0.170482345	61.47814395	59.98710389
6-SBChest	7/31/2008	0.15350684	54.27085415	54.61887521
6-SBChest	7/31/2008	0.076302359	29.30373583	28.6059014
7-MartinsCentral	8/4/2008	3.042712646	347.9448255	328.6604928
7-MartinsCentral	8/4/2008	2.368553853	278.8076605	316.2660067
7-MartinsCentral	8/4/2008	1.791367864	331.1732109	299.8231985
7-MartinsCentral	8/4/2008	1.436317521	277.1873081	284.803022
7-MartinsCentral	8/4/2008	1.155396036	271.3979963	268.3137439
7-MartinsCentral	8/4/2008	0.838626811	231.9519404	241.3296703
7-MartinsCentral	8/4/2008	0.639718786	209.9983887	216.622692
7-MartinsCentral	8/4/2008	0.378560695	167.5465847	166.9180793
7-MartinsCentral	8/4/2008	0.185268596	109.5512855	105.2184495
7-MartinsCentral	8/4/2008	0.090922632	67.56014781	60.08384515
7-MartinsCentral	8/4/2008	0.058602048	44.40267838	41.02456117
